gun;cut_off_time;kabul_ili;varis_ili;gonderi_turu;id;varýs_gunu
2;17:30:00;2;24;APG;310;NULL
2;17:30:00;2;24;KARGO;311;NULL
2;17:30:00;2;24;MEKTUP;312;NULL
2;17:30:00;2;25;APG;313;NULL
2;17:30:00;2;25;KARGO;314;NULL
2;17:30:00;2;25;MEKTUP;315;NULL
2;17:30:00;2;26;APG;316;NULL
2;17:30:00;2;26;KARGO;317;NULL
2;17:30:00;2;26;MEKTUP;318;NULL
1;17:30:00;2;27;APG;319;NULL
1;17:30:00;2;27;KARGO;320;NULL
1;17:30:00;2;27;MEKTUP;321;NULL
3;17:30:00;2;28;APG;322;NULL
3;17:30:00;2;28;KARGO;323;NULL
3;17:30:00;2;28;MEKTUP;324;NULL
2;17:30:00;2;29;APG;325;NULL
2;17:30:00;2;29;KARGO;326;NULL
2;17:30:00;2;29;MEKTUP;327;NULL
3;17:30:00;2;30;APG;328;NULL
3;17:30:00;2;30;KARGO;329;NULL
3;17:30:00;2;30;MEKTUP;330;NULL
2;17:30:00;2;31;APG;331;NULL
2;17:30:00;2;31;KARGO;332;NULL
2;17:30:00;2;31;MEKTUP;333;NULL
2;17:30:00;2;32;APG;334;NULL
2;17:30:00;2;32;KARGO;335;NULL
2;17:30:00;2;32;MEKTUP;336;NULL
1;17:30:00;2;33;APG;337;NULL
1;17:30:00;2;33;KARGO;338;NULL
1;17:30:00;2;33;MEKTUP;339;NULL
2;17:30:00;2;34;APG;340;NULL
2;17:30:00;2;34;KARGO;341;NULL
2;17:30:00;2;34;MEKTUP;342;NULL
2;17:30:00;2;35;APG;343;NULL
2;17:30:00;2;35;KARGO;344;NULL
2;17:30:00;2;35;MEKTUP;345;NULL
3;17:30:00;2;36;APG;346;NULL
3;17:30:00;2;36;KARGO;347;NULL
3;17:30:00;2;36;MEKTUP;348;NULL
3;17:30:00;2;37;APG;349;NULL
3;17:30:00;2;37;KARGO;350;NULL
3;17:30:00;2;37;MEKTUP;351;NULL
2;17:30:00;2;38;APG;352;NULL
